text,category,priority
"Hi team, Teams will not open after restarting the laptop This is impacting work.",Software,High
Urgent: I can't access the payroll system,Access,Medium
"Hello, I cannot send email from my phone Can someone take a look?",Email,High
Please help. Unable to connect to the printer from my laptop Can someone take a look?,Printer,Low
Urgent: Docking station is broken Thanks.,Hardware,Medium
"Hello, I get a permission error when opening the database Thanks.",Access,Medium
"Hi team, Skyler Moore starts 06/14/2025. Please create accounts and assign equipment Please advise.",New Hire,Medium
Need assistance: Excel freezes when I open large files.,Software,High
Please help. User's last day is 03/12/2025. Please begin offboarding.,End of Employment,High
Urgent: I cannot log into the company portal This is impacting work.,Access,High
Please process termination for Parker Garcia. User's last day is 11/02/2025 Can someone take a look?,End of Employment,High
I am unable to scan to email from the printer Thanks.,Printer,Medium
Need assistance: I need access to the HR shared drive Please advise.,Access,Medium
"Hello, I am unable to scan to email from the printer Thanks.",Printer,Medium
"Hello, Docking station is not working Can someone take a look?",Hardware,Medium
Need assistance: My mouse pointer jumps around randomly.,Hardware,Medium
Please help. Docking station is failing,Hardware,Low
Urgent: I am unable to connect to the printer from my laptop Can someone take a look?,Printer,Low
"Hi team, Connection times out when I try to open the intranet This is impacting work.",Network,Medium
Please help. Kindly process termination for Riley Davis. User's last day is 10/11/2025 Please advise.,End of Employment,High
I lose access to the network after waking the laptop.,Network,Medium
"Hi team, New employee starting 07/23/2025. Need laptop, email, and system access Can someone take a look?",New Hire,Medium
"Hello, I am unable to scan to email from the printer",Printer,Low
The program opens and then immediately closes.,Software,Medium
Onboarding request: Parker Garcia will start on 10/04/2025 Thanks.,New Hire,High
"Hello, The fan is extremely loud",Hardware,Medium
"Set up badge, laptop, and software for new hire Jamie Thomas, starting 11/12/2025.",New Hire,Low
Urgent: I can't send email from my phone This is impacting work.,Email,Medium
"Hi team, The program opens and then immediately closes This is impacting work.",Software,Low
Urgent: Internet is extremely slow on my laptop Please advise.,Network,Medium
"Hi team, The company portal loads very slowly",Network,Medium
I need access to the HR shared drive Can someone take a look?,Access,Medium
Color printing is broken Can someone take a look?,Printer,High
Please prepare access for incoming employee Riley Davis. Start date: 12/23/2025.,New Hire,Medium
Video calls keep lagging due to network issues,Network,High
